Freq.	V(n019)
1.00000000000000e+01	(4.01034013661234e+01dB,-8.92198227181559e-03°)
1.04712854805090e+01	(4.01134427612085e+01dB,-9.35326902256569e-03°)
1.09647819614318e+01	(4.01244662907956e+01dB,-9.80651286812842e-03°)
1.14815362149688e+01	(4.01365694524014e+01dB,-1.02829982251128e-02°)
1.20226443461741e+01	(4.01498597179742e+01dB,-1.07841091372031e-02°)
1.25892541179417e+01	(4.01644556154190e+01dB,-1.13113403316665e-02°)
1.31825673855641e+01	(4.01804879399956e+01dB,-1.18663098954194e-02°)
1.38038426460288e+01	(4.01981011137552e+01dB,-1.24507738535857e-02°)
1.44543977074593e+01	(4.02174547142342e+01dB,-1.30666429901617e-02°)
1.51356124843621e+01	(4.02387251972865e+01dB,-1.37160023200789e-02°)
1.58489319246111e+01	(4.02621078433589e+01dB,-1.44011337079817e-02°)
1.65958690743756e+01	(4.02878189618698e+01dB,-1.51245422358196e-02°)
1.73780082874937e+01	(4.03160983948805e+01dB,-1.58889870546058e-02°)
1.81970085860998e+01	(4.03472123692357e+01dB,-1.66975176229361e-02°)
1.90546071796324e+01	(4.03814567561897e+01dB,-1.75535164460103e-02°)
1.99526231496888e+01	(4.04191608097091e+01dB,-1.84607496971998e-02°)
2.08929613085403e+01	(4.04606914698095e+01dB,-1.94234274473762e-02°)
2.18776162394955e+01	(4.05064583362863e+01dB,-2.04462756692908e-02°)
2.29086765276777e+01	(4.05569194421739e+01dB,-2.15346227580231e-02°)
2.39883291901948e+01	(4.06125879867158e+01dB,-2.26945040590219e-02°)
2.51188643150957e+01	(4.06740402265988e+01dB,-2.39327888852860e-02°)
2.63026799189537e+01	(4.07419247744613e+01dB,-2.52573358229268e-02°)
2.75422870333816e+01	(4.08169736190538e+01dB,-2.66771838949014e-02°)
2.88403150312660e+01	(4.09000152672108e+01dB,-2.82027895560385e-02°)
3.01995172040201e+01	(4.09919905214427e+01dB,-2.98463227903816e-02°)
3.16227766016837e+01	(4.10939715590937e+01dB,-3.16220401604334e-02°)
3.31131121482590e+01	(4.12071851849263e+01dB,-3.35467590947383e-02°)
3.46736850452530e+01	(4.13330414110701e+01dB,-3.56404668731456e-02°)
3.63078054770100e+01	(4.14731689097069e+01dB,-3.79271110344932e-02°)
3.80189396320560e+01	(4.16294594347960e+01dB,-4.04356374240286e-02°)
3.98107170553496e+01	(4.18041240965936e+01dB,-4.32013712445858e-02°)
4.16869383470334e+01	(4.19997655174014e+01dB,-4.62678808985073e-02°)
4.36515832240164e+01	(4.22194715922119e+01dB,-4.96895335529263e-02°)
4.57088189614873e+01	(4.24669391407000e+01dB,-5.35350615245257e-02°)
4.78630092322636e+01	(4.27466397011436e+01dB,-5.78926387047580e-02°)
5.01187233627270e+01	(4.30640460079739e+01dB,-6.28772694473421e-02°)
5.24807460249770e+01	(4.34259479719892e+01dB,-6.86418197324924e-02°)
5.49540873857622e+01	(4.38409043334996e+01dB,-7.53939726832896e-02°)
5.75439937337154e+01	(4.43199065813330e+01dB,-8.34231853309823e-02°)
6.02559586074354e+01	(4.48773874652468e+01dB,-9.31452795487263e-02°)
6.30957344480190e+01	(4.55328139468572e+01dB,-1.05179772510226e-01°)
6.60693448007592e+01	(4.63133250571385e+01dB,-1.20491901712236e-01°)
6.91830970918932e+01	(4.72583632622761e+01dB,-1.40672720135348e-01°)
7.24435960074986e+01	(4.84284347678572e+01dB,-1.68544137365275e-01°)
7.58577575029179e+01	(4.99233950601457e+01dB,-2.09634138410543e-01°)
7.94328234724277e+01	(5.19262393705697e+01dB,-2.76442581201477e-01°)
8.31763771102666e+01	(5.48322925336418e+01dB,-4.04491612064157e-01°)
8.70963589956075e+01	(5.98015164489307e+01dB,-7.50549826903130e-01°)
9.12010839355904e+01	(7.60504992747403e+01dB,-5.10966079121446e+00°)
9.54992586021429e+01	(6.20163757287453e+01dB,-1.78937974507380e+02°)
9.99999999999993e+01	(5.47319173978647e+01dB,-1.79519279933451e+02°)
1.04712854805089e+02	(5.05281644527299e+01dB,-1.79689757257569e+02°)
1.09647819614318e+02	(4.74781679451984e+01dB,-1.79771334399511e+02°)
1.14815362149687e+02	(4.50358986537769e+01dB,-1.79819246406979e+02°)
1.20226443461740e+02	(4.29683585591420e+01dB,-1.79850820308557e+02°)
1.25892541179416e+02	(4.11543042881551e+01dB,-1.79873232812618e+02°)
1.31825673855640e+02	(3.95225462416962e+01dB,-1.79889993368906e+02°)
1.38038426460287e+02	(3.80277098283642e+01dB,-1.79903021160084e+02°)
1.44543977074592e+02	(3.66390976273126e+01dB,-1.79913454133111e+02°)
1.51356124843620e+02	(3.53349783874379e+01dB,-1.79922009745171e+02°)
1.58489319246110e+02	(3.40994097083517e+01dB,-1.79929162719170e+02°)
1.65958690743755e+02	(3.29203547459887e+01dB,-1.79935239660675e+02°)
1.73780082874936e+02	(3.17885078470842e+01dB,-1.79940472621622e+02°)
1.81970085860997e+02	(3.06965311447000e+01dB,-1.79945030990706e+02°)
1.90546071796323e+02	(2.96385407396346e+01dB,-1.79949041295320e+02°)
1.99526231496886e+02	(2.86097505022002e+01dB,-1.79952599943370e+02°)
2.08929613085402e+02	(2.76062187862045e+01dB,-1.79955781676942e+02°)
2.18776162394953e+02	(2.66246642942480e+01dB,-1.79958645332028e+02°)
2.29086765276775e+02	(2.56623295880736e+01dB,-1.79961237855302e+02°)
2.39883291901947e+02	(2.47168781584770e+01dB,-1.79963597163672e+02°)
2.51188643150956e+02	(2.37863156008137e+01dB,-1.79965754217681e+02°)
2.63026799189536e+02	(2.28689284111129e+01dB,-1.79967734549785e+02°)
2.75422870333814e+02	(2.19632358668665e+01dB,-1.79969559407618e+02°)
2.88403150312658e+02	(2.10679517636878e+01dB,-1.79971246620771e+02°)
3.01995172040198e+02	(2.01819536726764e+01dB,-1.79972811266000e+02°)
3.16227766016835e+02	(1.93042580050570e+01dB,-1.79974266183445e+02°)
3.31131121482588e+02	(1.84339996101247e+01dB,-1.79975622381316e+02°)
3.46736850452528e+02	(1.75704149477346e+01dB,-1.79976889356139e+02°)
3.63078054770097e+02	(1.67128281056723e+01dB,-1.79978075348351e+02°)
3.80189396320557e+02	(1.58606391008326e+01dB,-1.79979187547940e+02°)
3.98107170553493e+02	(1.50133140286086e+01dB,-1.79980232261107e+02°)
4.16869383470331e+02	(1.41703767192723e+01dB,-1.79981215046272e+02°)
4.36515832240161e+02	(1.33314016318165e+01dB,-1.79982140825756e+02°)
4.57088189614870e+02	(1.24960077706836e+01dB,-1.79983013978057e+02°)
4.78630092322633e+02	(1.16638534532932e+01dB,-1.79983838414493e+02°)
5.01187233627266e+02	(1.08346317893966e+01dB,-1.79984617643207e+02°)
5.24807460249766e+02	(1.00080667592899e+01dB,-1.79985354822875e+02°)
5.49540873857618e+02	(9.18390979848458e+00dB,-1.79986052807982e+02°)
5.75439937337150e+02	(8.36193681280822e+00dB,-1.79986714187152e+02°)
6.02559586074350e+02	(7.54194556103246e+00dB,-1.79987341315743e+02°)
6.30957344480185e+02	(6.72375335269978e+00dB,-1.79987936343663e+02°)
6.60693448007588e+02	(5.90719501739965e+00dB,-1.79988501239202e+02°)
6.91830970918928e+02	(5.09212110873583e+00dB,-1.79989037809524e+02°)
7.24435960074981e+02	(4.27839631195697e+00dB,-1.79989547718348e+02°)
7.58577575029174e+02	(3.46589802894297e+00dB,-1.79990032501258e+02°)
7.94328234724271e+02	(2.65451511814604e+00dB,-1.79990493578993e+02°)
8.31763771102660e+02	(1.84414677033391e+00dB,-1.79990932269038e+02°)
8.70963589956069e+02	(1.03470150369612e+00dB,-1.79991349795740e+02°)
9.12010839355897e+02	(2.26096264150371e-01dB,-1.79991747299191e+02°)
9.54992586021423e+02	(-5.81744381396714e-01dB,-1.79992125843029e+02°)
9.99999999999986e+02	(-1.38888896945783e+00dB,-1.79992486421318e+02°)
1.04712854805088e+03	(-2.19539979128933e+00dB,-1.79992829964640e+02°)
1.09647819614317e+03	(-3.00133347920426e+00dB,-1.79993157345487e+02°)
1.14815362149687e+03	(-3.80674153494317e+00dB,-1.79993469383067e+02°)
1.20226443461740e+03	(-4.61167080630960e+00dB,-1.79993766847586e+02°)
1.25892541179415e+03	(-5.41616391753470e+00dB,-1.79994050464081e+02°)
1.31825673855639e+03	(-6.22025965819383e+00dB,-1.79994320915853e+02°)
1.38038426460286e+03	(-7.02399333494137e+00dB,-1.79994578847557e+02°)
1.44543977074591e+03	(-7.82739708984672e+00dB,-1.79994824867996e+02°)
1.51356124843619e+03	(-8.63050018869189e+00dB,-1.79995059552632e+02°)
1.58489319246109e+03	(-9.43332928222237e+00dB,-1.79995283445878e+02°)
1.65958690743754e+03	(-1.02359086430192e+01dB,-1.79995497063173e+02°)
1.73780082874935e+03	(-1.10382603803760e+01dB,-1.79995700892872e+02°)
1.81970085860995e+03	(-1.18404046353121e+01dB,-1.79995895397980e+02°)
1.90546071796322e+03	(-1.26423597576355e+01dB,-1.79996081017733e+02°)
1.99526231496885e+03	(-1.34441424667669e+01dB,-1.79996258169050e+02°)
2.08929613085401e+03	(-1.42457679978684e+01dB,-1.79996427247874e+02°)
2.18776162394952e+03	(-1.50472502346614e+01dB,-1.79996588630404e+02°)
2.29086765276774e+03	(-1.58486018301820e+01dB,-1.79996742674234e+02°)
2.39883291901945e+03	(-1.66498343165998e+01dB,-1.79996889719409e+02°)
2.51188643150954e+03	(-1.74509582051137e+01dB,-1.79997030089404e+02°)
2.63026799189534e+03	(-1.82519830768442e+01dB,-1.79997164092036e+02°)
2.75422870333812e+03	(-1.90529176655481e+01dB,-1.79997292020310e+02°)
2.88403150312656e+03	(-1.98537699329082e+01dB,-1.79997414153211e+02°)
3.01995172040196e+03	(-2.06545471370738e+01dB,-1.79997530756443e+02°)
3.16227766016832e+03	(-2.14552558950684e+01dB,-1.79997642083121e+02°)
3.31131121482585e+03	(-2.22559022396213e+01dB,-1.79997748374419e+02°)
3.46736850452526e+03	(-2.30564916709279e+01dB,-1.79997849860179e+02°)
3.63078054770095e+03	(-2.38570292037959e+01dB,-1.79997946759483e+02°)
3.80189396320554e+03	(-2.46575194105959e+01dB,-1.79998039281189e+02°)
3.98107170553490e+03	(-2.54579664603909e+01dB,-1.79998127624443e+02°)
4.16869383470328e+03	(-2.62583741545894e+01dB,-1.79998211979152e+02°)
4.36515832240158e+03	(-2.70587459594338e+01dB,-1.79998292526438e+02°)
4.57088189614867e+03	(-2.78590850356062e+01dB,-1.79998369439062e+02°)
4.78630092322629e+03	(-2.86593942652103e+01dB,-1.79998442881829e+02°)
5.01187233627263e+03	(-2.94596762763629e+01dB,-1.79998513011971e+02°)
5.24807460249763e+03	(-3.02599334656079e+01dB,-1.79998579979505e+02°)
5.49540873857614e+03	(-3.10601680183475e+01dB,-1.79998643927575e+02°)
5.75439937337146e+03	(-3.18603819274662e+01dB,-1.79998704992781e+02°)
6.02559586074346e+03	(-3.26605770103081e+01dB,-1.79998763305483e+02°)
6.30957344480181e+03	(-3.34607549241544e+01dB,-1.79998818990096e+02°)
6.60693448007583e+03	(-3.42609171803334e+01dB,-1.79998872165366e+02°)
6.91830970918923e+03	(-3.50610651570848e+01dB,-1.79998922944636e+02°)
7.24435960074976e+03	(-3.58612001112880e+01dB,-1.79998971436094e+02°)
7.58577575029169e+03	(-3.66613231891561e+01dB,-1.79999017743014e+02°)
7.94328234724266e+03	(-3.74614354359852e+01dB,-1.79999061963983e+02°)
8.31763771102654e+03	(-3.82615378050454e+01dB,-1.79999104193116e+02°)
8.70963589956063e+03	(-3.90616311656860e+01dB,-1.79999144520262e+02°)
9.12010839355891e+03	(-3.98617163107273e+01dB,-1.79999183031201e+02°)
9.54992586021416e+03	(-4.06617939632001e+01dB,-1.79999219807829e+02°)
9.99999999999979e+03	(-4.14618647824918e+01dB,-1.79999254928336e+02°)
1.04712854805088e+04	(-4.22619293699500e+01dB,-1.79999288467376e+02°)
1.09647819614316e+04	(-4.30619882739932e+01dB,-1.79999320496228e+02°)
1.14815362149686e+04	(-4.38620419947708e+01dB,-1.79999351082949e+02°)
1.20226443461739e+04	(-4.46620909884126e+01dB,-1.79999380292522e+02°)
1.25892541179414e+04	(-4.54621356709041e+01dB,-1.79999408186998e+02°)
1.31825673855638e+04	(-4.62621764216202e+01dB,-1.79999434825622e+02°)
1.38038426460285e+04	(-4.70622135865483e+01dB,-1.79999460264969e+02°)
1.44543977074590e+04	(-4.78622474812269e+01dB,-1.79999484559058e+02°)
1.51356124843617e+04	(-4.86622783934259e+01dB,-1.79999507759474e+02°)
1.58489319246108e+04	(-4.94623065855905e+01dB,-1.79999529915473e+02°)
1.65958690743752e+04	(-5.02623322970705e+01dB,-1.79999551074091e+02°)
1.73780082874934e+04	(-5.10623557461525e+01dB,-1.79999571280242e+02°)
1.81970085860994e+04	(-5.18623771319143e+01dB,-1.79999590576818e+02°)
1.90546071796320e+04	(-5.26623966359150e+01dB,-1.79999609004775e+02°)
1.99526231496883e+04	(-5.34624144237368e+01dB,-1.79999626603223e+02°)
2.08929613085399e+04	(-5.42624306463914e+01dB,-1.79999643409513e+02°)
2.18776162394950e+04	(-5.50624454416018e+01dB,-1.79999659459308e+02°)
2.29086765276772e+04	(-5.58624589349720e+01dB,-1.79999674786669e+02°)
2.39883291901943e+04	(-5.66624712410537e+01dB,-1.79999689424120e+02°)
2.51188643150952e+04	(-5.74624824643184e+01dB,-1.79999703402721e+02°)
2.63026799189532e+04	(-5.82624927000447e+01dB,-1.79999716752131e+02°)
2.75422870333810e+04	(-5.90625020351276e+01dB,-1.79999729500676e+02°)
2.88403150312654e+04	(-5.98625105488157e+01dB,-1.79999741675404e+02°)
3.01995172040194e+04	(-6.06625183133842e+01dB,-1.79999753302147e+02°)
3.16227766016830e+04	(-6.14625253947488e+01dB,-1.79999764405571e+02°)
3.31131121482583e+04	(-6.22625318530250e+01dB,-1.79999775009235e+02°)
3.46736850452523e+04	(-6.30625377430387e+01dB,-1.79999785135633e+02°)
3.63078054770092e+04	(-6.38625431147916e+01dB,-1.79999794806249e+02°)
3.80189396320552e+04	(-6.46625480138856e+01dB,-1.79999804041600e+02°)
3.98107170553487e+04	(-6.54625524819099e+01dB,-1.79999812861277e+02°)
4.16869383470325e+04	(-6.62625565567946e+01dB,-1.79999821283991e+02°)
4.36515832240155e+04	(-6.70625602731319e+01dB,-1.79999829327609e+02°)
4.57088189614864e+04	(-6.78625636624705e+01dB,-1.79999837009196e+02°)
4.78630092322626e+04	(-6.86625667535828e+01dB,-1.79999844345046e+02°)
5.01187233627259e+04	(-6.94625695727098e+01dB,-1.79999851350721e+02°)
5.24807460249759e+04	(-7.02625721437833e+01dB,-1.79999858041083e+02°)
5.49540873857610e+04	(-7.10625744886296e+01dB,-1.79999864430323e+02°)
5.75439937337142e+04	(-7.18625766271543e+01dB,-1.79999870531995e+02°)
6.02559586074342e+04	(-7.26625785775116e+01dB,-1.79999876359043e+02°)
6.30957344480177e+04	(-7.34625803562581e+01dB,-1.79999881923827e+02°)
6.60693448007579e+04	(-7.42625819784940e+01dB,-1.79999887238151e+02°)
6.91830970918918e+04	(-7.50625834579903e+01dB,-1.79999892313289e+02°)
7.24435960074971e+04	(-7.58625848073069e+01dB,-1.79999897160005e+02°)
7.58577575029163e+04	(-7.66625860378980e+01dB,-1.79999901788581e+02°)
7.94328234724260e+04	(-7.74625871602103e+01dB,-1.79999906208836e+02°)
8.31763771102648e+04	(-7.82625881837711e+01dB,-1.79999910430144e+02°)
8.70963589956057e+04	(-7.90625891172696e+01dB,-1.79999914461461e+02°)
9.12010839355885e+04	(-7.98625899686302e+01dB,-1.79999918311337e+02°)
9.54992586021410e+04	(-8.06625907450803e+01dB,-1.79999921987940e+02°)
1.00000000000000e+05	(-8.14625914532116e+01dB,-1.79999925499067e+02°)
